Index,Region/Country/Area,Year,Series,Value
0,Total,1995,Primary education,0.91
1,Total,2005,Primary education,0.95
2,Total,2010,Primary education,0.97
3,Total,2015,Primary education,1
4,Total,2019,Primary education,0.98
5,Total,2020,Primary education,0.98
6,Total,2005,Lower secondary education,0.95
7,Total,2010,Lower secondary education,0.97
8,Total,2015,Lower secondary education,1
9,Total,2019,Lower secondary education,0.99
10,Total,2020,Lower secondary education,0.99
11,Total,1995,Upper secondary education,0.85
12,Total,2005,Upper secondary education,0.94
13,Total,2010,Upper secondary education,0.96
14,Total,2015,Upper secondary education,0.98
15,Total,2019,Upper secondary education,0.99
16,Total,2020,Upper secondary education,0.98
17,Northern Africa,1995,Primary education,0.86
18,Northern Africa,2005,Primary education,0.93
19,Northern Africa,2010,Primary education,0.95
20,Northern Africa,2015,Primary education,0.97
21,Northern Africa,2019,Primary education,0.98
22,Northern Africa,2020,Primary education,0.98
23,Northern Africa,2005,Lower secondary education,0.93
24,Northern Africa,2010,Lower secondary education,0.93
25,Northern Africa,2015,Lower secondary education,0.95
26,Northern Africa,2019,Lower secondary education,0.96
27,Northern Africa,2020,Lower secondary education,0.96
28,Northern Africa,1995,Upper secondary education,0.92
29,Northern Africa,2005,Upper secondary education,1.07
30,Northern Africa,2010,Upper secondary education,1.07
31,Northern Africa,2015,Upper secondary education,1.06
32,Northern Africa,2019,Upper secondary education,1.09
33,Northern Africa,2020,Upper secondary education,1.1
34,Sub-Saharan Africa,1995,Primary education,0.84
35,Sub-Saharan Africa,2005,Primary education,0.88
36,Sub-Saharan Africa,2010,Primary education,0.93
37,Sub-Saharan Africa,2015,Primary education,0.96
38,Sub-Saharan Africa,2019,Primary education,0.96
39,Sub-Saharan Africa,2020,Primary education,0.96
40,Sub-Saharan Africa,2005,Lower secondary education,0.79
41,Sub-Saharan Africa,2010,Lower secondary education,0.84
42,Sub-Saharan Africa,2015,Lower secondary education,0.89
43,Sub-Saharan Africa,2019,Lower secondary education,0.91
44,Sub-Saharan Africa,2020,Lower secondary education,0.91
45,Sub-Saharan Africa,2005,Upper secondary education,0.78
46,Sub-Saharan Africa,2010,Upper secondary education,0.78
47,Sub-Saharan Africa,2015,Upper secondary education,0.81
